id,nom
1060,"Sopra Steria"
1061,Mairie
1062,CCI
1063,Adobe
1064,Walmart
1065,eBay
1066,"International Consortium of Investigative Journalists"
1067,UBS
1068,Monsanto
1069,Microsoft
1070,IBM
1071,"Novo Nordisk"
1072,Previa
1073,Volvo
1074,AstraZeneca
1075,"Fortune 50 Retailer"
1076,"Die Bayerische"
1077,Telenor
1078,NASA
1079,StarHub
1080,Airbnb
1081,Cerved
1082,Orange
1083,Telia
1084,"U.S Army"
1085,"Zurich Insurance Group"
1086,"Norwegian Tax Administration"
1087,ATPCO
1088,Cisco
1089,"Swiss International Air Lines"
1090,"Financial Times"
1091,LinkedIn
1092,"Lockheed Martin Space Systems"
1093,MSCI
1094,Airbus
1095,Wobi
1096,Hastens
1097,CenturyLink
1098,Cluedin
1099,Wazoku
1100,migRaven
1101,"Transparency One"
1102,Billes
1103,Musimap
1104,WineDataSystem
1105,"Candiolo Cancer Institute"
1106,InQTel
1107,Schleich
1108,HP
1109,"Pitney Bowes"
1110,EuroPeana
1111,Glowbl
1112,eSpirit
1113,TomTom
1114,Medium
1115,"Dun and Bradstreet"
1116,Softwire
1117,megree
1118,"German Centre for Diabetes Research"
1119,Linkurious
1120,Nulli
1121,Chillisoft
1122,SeedCloud
1123,innoQ
1124,Stitched
1125,LendingClub
1126,InfoAdvisors
1127,"Worl Economic Forum"
1128,"Fino Consulting"
1129,Kantwert
1130,"Gliddewell Laboratories"
1131,Miroculus
1132,Novartis
1133,"Deutsche Bahn"
1134,Vinelab
1135,"Tech Marionette"
1136,Mesosphere
1137,Commit
1138,"KCOM Group"
1139,Gousto
1140,onefinestay
1141,Maaii
1142,Indetropy
1143,ProIntegra
1144,Zenoss
1145,Doximity
1146,Meetic
1147,"Larus Business Automation"
1148,"National Institute of Informatics"
1149,Doppetime
1150,"Virtual Instruments"
